stations_info =  {<"213688169" 48.866 2.2757 35 "16107" "Benjamin Godard - Victor Hugo">
     <"205938683" 48.894 2.3979 53 "19043" "Delphine Seyrig - Général Leclerc">
     <"210399835" 48.847 2.3465 39 "5032" "Panthéon - Valette">
     <"1057324291" 48.822 2.3222 58 "14020" "Cimetière de Montrouge">
     <"101763163" 48.853 2.2931 12 "15067" "Desaix - Edgar Faure">
     <"653133605" 48.82 2.4642 45 "43401" "Gare RER - Canadiens">
     <"3906094706" 48.93 2.2837 32 "26002" "Redoute - Les Courtilles">
     <"27414578" 48.845 2.3293 19 "6006" "Notre-Dame-des-Champs - Stanislas">
     <"508042092" 48.822 2.4587 34 "12128" "Pyramide - Ecole du Breuil ">
     <"42603855" 48.88 2.3265 17 "8010" "Liège - Moscou">
     <"818302209" 48.861 2.4406 52 "31022" "Mairie de Montreuil">
     <"13718041" 48.875 2.3826 24 "19101" "Square Simon Bolivar">
     <"265464297" 48.837 2.3313 50 "14003" "Schoelcher - Raspail">
     <"1057392676" 48.765 2.4071 35 "46002" "Rouget de Lisle">
     <"102309973" 48.886 2.3329 43 "18003" "Cimetière de Montmartre">
     <"532054446" 48.867 2.3693 58 "11113" "Richard Lenoir - Republique">
     <"129034587" 48.875 2.3598 17 "10016" "Récollets - Square Villemin">
     <"314829539" 48.836 2.4796 49 "41302" "Charles de Gaulle - Beauté">
     <"586539770" 48.812 2.3031 22 "21212" "Marne - Germain Dardan">
     <"3906335682" 48.815 2.3612 25 "42706" "Roger Salengro - Fontainebleau">
     <"583539396" 48.916 2.3814 29 "33017" "Anatole France - President Roosevelt">
     <"101753100" 48.834 2.2714 16 "15042" "Henry Farman">
     <"27415466" 48.874 2.3896 22 "20112" "Jourdain - Place des Grandes Rigoles">
     <"52393" 48.897 2.396 50 "19044" "Grands Moulins de Pantin">
     <"66491385" 48.848 2.4451 25 "43008" "Fontenay - Libération">
     <"209057581" 48.886 2.4073 18 "33102" "Gabriel Péri - Francisco Ferrer">
     <"66491389" 48.865 2.3025 58 "8045" "Place de la Reine Astrid">
     <"596872103" 48.818 2.2712 30 "21312" "Lucie Aubrac - Fort">
     <"81081358" 48.893 2.3636 39 "18011" "Pajol - Place Herbert">
     <"210749865" 48.838 2.3448 18 "13001" "Port-Royal - Hôpital du Val-de-Grâce">
     <"535500589" 48.838 2.2754 64 "15104" "Hôpital Européen Georges Pompidou ">
     <"597245295" 48.799 2.3821 35 "44006" "Concorde - Stalingrad">
     <"583171360" 48.806 2.3202 30 "22202" "Jean Marin Naudin - Stalingrad">
     <"235513935" 48.877 2.3861 27 "19120" "Carducci - Place Hannah Arendt">
     <"27206194" 48.842 2.3414 20 "5004" "Saint-Jacques - Val de Grâce">
     <"102323152" 48.885 2.392 20 "19103" "Manin - Carrières d'Amérique">
     <"82584215" 48.83 2.2639 62 "21306" "Place Lafayette">
     <"129060764" 48.844 2.4151 28 "12114" "Victor Hugo - Jeanne Jugan">
     <"828134511" 48.828 2.3057 32 "14138" "Porte de Vanves">
     <"586649404" 48.771 2.4034 25 "46003" "Conservatoire de Musique">
     <"596813170" 48.847 2.4788 15 "41209" "Cimetière de Fontenay-sous-Bois">
     <"271426439" 48.872 2.3723 19 "10024" "Buisson Saint-Louis - Saint-Maur">
     <"213684314" 48.853 2.2979 25 "15105" "Fédération - Suffren">
     <"27363187" 48.896 2.3456 46 "18031" "Place Albert Kahn">
     <"76199461" 48.894 2.332 33 "18028" "Championnet - Vauvenargues">
     <"230952057" 48.814 2.3909 32 "42014" "Place Marcel Cachin">
     <"37815993" 48.848 2.3503 37 "5018" "Mutualité">
     <"88140066" 48.876 2.3226 65 "8017" "Rocher - Laborde">
     <"213683101" 48.838 2.2877 19 "15054" "Lecourbe - Jean Maridor">
     <"213684750" 48.85 2.2946 35 "15106" "Grenelle - Violet">
     <"129067920" 48.832 2.3293 39 "14008" "Mouton Duvernet - Général Leclerc">
     <"2515049357" 48.843 2.3446 24 "5124" "Erasme - Ulm">
     <"27364743" 48.825 2.3107 21 "14106" "Marc Sangnier - Porte de Vanves">
     <"102314792" 48.888 2.3261 33 "18046" "Etienne Jodelle - Saint Ouen">
     <"35447568" 48.815 2.2981 23 "22406" "Guy Môquet - Etienne Dolet">
     <"27415736" 48.907 2.396 30 "35002" "Jean Jaurès - Presles">
     <"583178525" 48.876 2.4677 21 "31102" "Boissière - Etienne Dolet">
     <"2514995690" 48.867 2.3367 30 "2111" "Chabanais - Petits Champs">
     <"572566600" 48.781 2.3724 30 "44013" "Edouard Tremblay - Julian Grimau">
     <"82387816" 48.876 2.3013 32 "8054" "Bertie Albrecht - Hoche">
     <"213685090" 48.842 2.281 29 "15109" "Cevennes - Bergers">
     <"301841024" 48.811 2.3146 30 "21209" "Molière - République">
     <"66491402" 48.89 2.3491 37 "18022" "Marcadet - Barbès">
     <"213679512" 48.827 2.3385 25 "14012" "Sibelle - Alésia">
     <"588452142" 48.891 2.4028 24 "35010" "Hoche - Jean Lolive">
     <"85147829" 48.835 2.2417 26 "21005" "Hôtel de Ville de Boulogne Billancourt">
     <"213681356" 48.821 2.3337 22 "14124" "David Weill - Parc Montsouris">
     <"2515351285" 48.837 2.2931 27 "15133" "Saint Lambert - Blomet">
     <"213685514" 48.836 2.2811 24 "15110" "Place Robert Guillemard">
     <"102329800" 48.842 2.2332 27 "21006" "Marcelin Berthelot">
     <"129038848" 48.872 2.3484 16 "10042" "Enghien - Faubourg Poissonnière">
     <"54000625" 48.859 2.3896 33 "20131" "Repos - Cimetière du Père Lachaise">
     <"213911772" 48.857 2.4376 57 "31008" "François Debergue - Croix de Chavaux">
     <"129132870" 48.828 2.2416 23 "21015" "Nationale - Place Jules Guesde">
     <"620403530" 48.79 2.4026 20 "44003" "Gabriel Péri - Danielle Casanova">
     <"66491378" 48.844 2.2941 53 "15034" "Lakanal - Commerce">
     <"631773910" 48.796 2.4262 26 "41404" "Carnot - Pâquerettes">
     <"611152693" 48.788 2.3062 28 "22203" "Tertres - Fontaine">
     <"1765749389" 48.785 2.3647 16 "48010" "Karl Marx.">
     <"235241110" 48.844 2.463 61 "41202" "Gare Rer de Fontenay sous Bois">
     <"613737748" 48.809 2.3903 32 "42021" "Raspail - Manufacture des Oeillets">
     <"41498023" 48.865 2.3761 24 "11030" "Oberkampf - République">
     <"1062671597" 48.861 2.3494 24 "1119" "Cossonnerie - Sébastopol">
     <"213945171" 48.875 2.4153 22 "31708" "Noisy le Sec - Jean-Baptiste Clément">
     <"463297497" 48.884 2.4138 20 "35020" "Marcelle - Thalie">
     <"213875650" 48.893 2.1724 24 "25003" "Henri Ste-Claire Déville - Paul Héroult">
     <"245187072" 48.864 2.4105 20 "20115" "Louis Lumière - Porte de Bagnolet">
     <"129144878" 48.855 2.4187 30 "31003" "Paris - Emile Zola">
     <"27415665" 48.821 2.3027 43 "22402" "Jean Jaurès - Salvador Allende">
     <"593238093" 48.875 2.3317 24 "9116" "Victoire - Chaussée d'Antin">
     <"102331767" 48.838 2.2461 34 "21008" "Victor Hugo - Galliéni">
     <"37791" 48.866 2.3693 36 "11039" "Richard Lenoir - Jean-Pierre Timbaud">
     <"50156117" 48.885 2.3164 23 "17013" "Legendre - Dulong">
     <"15462236" 48.867 2.2908 32 "16008" "Galilée - Kléber">
     <"129093478" 48.886 2.2908 28 "17031" "Place de la Porte de Champerret">
     <"35908" 48.848 2.3418 19 "5106" "Cujas - Saint-Michel">
     <"210744286" 48.861 2.3813 45 "11026" "Chemin Vert - Saint-Maur">
     <"101024234" 48.828 2.3843 57 "13050" "Quai Panhard et Levassor">
     <"213992316" 48.881 2.4201 50 "32604" "Square du Théâtre du Garde-Chasse">
     <"213694482" 48.878 2.3815 20 "19024" "Botzaris - Parc des Buttes Chaumont">
     <"210573120" 48.875 2.2971 33 "8057" "Hoche - Tilsitt">
     <"129011497" 48.877 2.3444 24 "9010" "Rochechouart lamartine">
     <"101743895" 48.845 2.2975 64 "15021" "Joseph Liouville - Croix Nivert">
     <"213691848" 48.883 2.282 42 "17105" "Place Madeleine Daniélou">
     <"210396518" 48.845 2.3455 16 "5012" "Estrapade - Ulm">
     <"97677210" 48.864 2.375 50 "11105" "Parmentier - République ">
     <"875078767" 48.867 2.406 20 "20134" "Lieutenant Chauré - Etienne Marey">
     <"213683992" 48.843 2.2751 51 "15103" "Cauchy - Cévennes">
     <"102338493" 48.817 2.281 29 "21701" "Larmeroux - Baudelaire">
     <"54000601" 48.886 2.3569 22 "18009" "Jean-François Lépine - Stephenson">
     <"27362896" 48.887 2.2614 26 "22003" "Beffroy">
     <"213687140" 48.845 2.2657 34 "16038" "Molitor - Chardon-Lagache">
     <"235599121" 48.839 2.4176 26 "41601" "Général De Gaulle - Alouette">
     <"213680917" 48.828 2.3209 25 "14110" "Abbé Carton - Plantes">
     <"1057774603" 48.889 2.3112 32 "17125" "Marie-Georges Picquart - Pereire">
     <"213688462" 48.864 2.2819 38 "16108" "Sablons - Georges Mandel">
     <"102749572" 48.848 2.4334 51 "43005" "Gare RER de Vincennes">
     <"549876068" 48.873 2.3765 48 "19032" "Villette - Belleville">
     <"390212609" 48.85 2.273 30 "16136" "Théophile Gautier - François Millet">
     <"63498079" 48.881 2.3735 26 "19022" "Marché Secrétan">
     <"39254792" 48.859 2.379 51 "11024" "Mairie du 11ème">
     <"1558958733" 48.898 2.2384 28 "24001" "Arche - Léonard de Vinci">
     <"2515802454" 48.88 2.2764 26 "22016" "Charles de Gaulle - Sablonville">
     <"648227675" 48.826 2.321 40 "14136" "Auguste Cain - Jean Moulin">
     <"42566291" 48.874 2.3158 35 "8025" "Miromesnil - La Boétie">
     <"1062206433" 48.877 2.4462 20 "32302" "Chemin Vert - Fraternité">
     <"129032910" 48.872 2.3639 55 "10014" "Marseille - Beaurepaire">
